ID,school,school_name,city,address,lat,lon,ndvi_mean,nlcd_canopy_mean,greenery_index_ndvi_nlcd,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43694014330866,Branham High,Branham High,San Jose,1570 Branham Lane,37.254576,-121.89957,0.1691096398454517,2.603527512110296,0.3355517734740001,0.2331387405291267,0.314
43694014331955,Del Mar High,Del Mar High,San Jose,1224 Del Mar Avenue,37.303262,-121.9303,0.1764425033156577,2.9259719289529253,0.34869491204253444,0.226307291019749,0.696
43694014336137,Prospect High,Prospect High,Saratoga,18900 Prospect Road,37.292868,-122.00238,0.3191751437048582,12.894024102372963,0.6686613273003651,0.6593365635482669,0.492
43694014338505,Westmont High,Westmont High,Campbell,4805 Westmont Avenue,37.270126,-121.98595,0.2558138148002194,3.0520238390861683,0.43251109964181095,0.2010181276384405,0.42
43694190108126,Sam H. Lawson Middle,Sam H. Lawson Middle,Cupertino,10401 Vista Drive,37.328413,-122.02677,0.3035537043123232,5.2804423459244525,0.52032243485989,0.3148608349900596,0.152
43694196046718,C. B. Eaton Elementary,C. B. Eaton Elementary,Cupertino,20220 Suisun Drive,37.315251,-122.02619,0.271659075783977,5.674282875946853,0.49436402543342656,0.4630572457469266,0.157
43694196046742,Chester W. Nimitz Elementary,Chester W. Nimitz Elementary,Sunnyvale,545 East Cheyenne Drive,37.346742,-122.03575,0.3547115971310504,4.922627918529558,0.5667172705193113,0.4068554396423248,0.506
43694196046759,L. P. Collins Elementary,L. P. Collins Elementary,Cupertino,10300 Blaney Avenue,37.318574,-122.02308,0.3206600190342197,8.038122438842667,0.5858249622431051,0.6123183906618652,0.171
43694196046767,Cupertino Middle,Cupertino Middle,Sunnyvale,1650 South Bernardo Avenue,37.340131,-122.05942,0.1254454541617558,0.4004721669980119,0.25237257613607134,0.0304423459244532,0.209
43694196046775,D. J. Sedgwick Elementary,D. J. Sedgwick Elementary,Cupertino,19200 Phil Lane,37.316097,-122.00876,0.2342286313473203,1.0424581005586593,0.37539973452781233,0.1013035381750465,0.27
43694196046809,Dwight D. Eisenhower Elementary,Dwight D. Eisenhower Elementary,Santa Clara,277 Rodonovan Drive,37.329181,-121.98939,0.388954894063087,12.973925999503354,0.7418116770830606,0.4968959523218277,0.28
43694196046841,Garden Gate Elementary,Garden Gate Elementary,Cupertino,10500 Ann Arbor Avenue,37.329659,-122.04533,0.2993285490018273,4.007949323065458,0.4938697384463868,0.3235622903987082,0.208
43694196046882,Joaquin Miller Middle,Joaquin Miller Middle,San Jose,6151 Rainbow Drive,37.301254,-122.0121,0.280070578065522,2.734409937888199,0.45193896727169736,0.2011180124223602,0.135
43694196046890,John F. Kennedy Middle,John F. Kennedy Middle,Cupertino,821 Bubb Road,37.313232,-122.05052,0.3164805308525321,8.62572954178567,0.5917354569293231,0.5073885508506147,0.157
43694196046908,John Muir Elementary,John Muir Elementary,San Jose,6560 Hanover Drive,37.300409,-122.01946,0.2690925613320381,3.0321779102994166,0.44582230272496354,0.2236302646291465,0.084
43694196046932,Christa McAuliffe,Christa McAuliffe,Saratoga,12211 Titus Avenue,37.292892,-122.00966,0.3815944233594998,4.274363749224086,0.5831012944111286,0.3458721291123526,0.098
43694196046940,Abraham Lincoln Elementary,Abraham Lincoln Elementary,Cupertino,21710 McClellan Road,37.315469,-122.05336,0.2193015544676291,2.8648615078872184,0.39170988854073513,0.1917774189541671,0.144
43694196046957,Louis E. Stocklmeir Elementary,Louis E. Stocklmeir Elementary,Sunnyvale,592 Dunholme Way,37.344802,-122.02646,0.246578773040099,2.891593195082578,0.4202264690146498,0.2436359120824537,0.213
43694196046965,Manuel De Vargas Elementary,Manuel De Vargas Elementary,San Jose,5050 Moorpark Avenue,37.310596,-121.99102,0.3366305636507201,6.058626257607751,0.5678586882686265,0.4565892435722269,0.449
43694196046981,Montclaire Elementary,Montclaire Elementary,Los Altos,1160 Street Joseph Avenue,37.343291,-122.08241,0.315588215009754,9.733854942871336,0.6100696743423853,0.6100347739692003,0.088
43694196047005,Nelson S. Dilworth Elementary,Nelson S. Dilworth Elementary,San Jose,1101 Strayer Drive,37.306291,-122.00688,0.2805764582351563,6.247361231839065,0.5134910576533797,0.4276667080591083,0.196
43694196047039,Murdock-Portal Elementary,Murdock-Portal Elementary,San Jose,1188 Wunderlich Drive,37.30381,-121.99952,0.2991539436718223,3.929094747299143,0.4923202020821292,0.2625108655159567,0.085
43694196047088,Stevens Creek Elementary,Stevens Creek Elementary,Cupertino,10300 Ainsworth Drive,37.32731,-122.0643,0.3966434127354409,8.606162256180891,0.6738358056938459,0.4877624549633494,0.133
43694196047096,Warren E. Hyde Middle,Warren E. Hyde Middle,Cupertino,19325 Bollinger Road,37.31055,-122.01172,0.245092014096274,6.149031296572281,0.4752901818496548,0.430327868852459,0.263
43694196047104,West Valley Elementary,West Valley Elementary,Sunnyvale,1635 Belleville Way,37.339923,-122.06077,0.2806925759449525,9.222608695652175,0.5653005794349867,0.547329192546584,0.159
43694196047112,William Faria Elementary,William Faria Elementary,Cupertino,10155 Barbara Lane,37.320669,-122.03875,0.2400001503512936,7.381958250497017,0.49147376758410394,0.5155318091451292,0.125
43694196067185,Blue Hills Elementary,Blue Hills Elementary,Saratoga,12300 De Sanka Avenue,37.290073,-122.02589,0.3720679023231086,9.83200795228628,0.6698591915762453,0.6063618290258449,0.163
43694274330015,Yerba Buena High,Yerba Buena High,San Jose,1855 Lucretia Avenue,37.320791,-121.84831,0.2500623610355998,3.658597144630664,0.4371344764602463,0.2753569211669769,0.619
43694274330023,Santa Teresa High,Santa Teresa High,San Jose,6150 Snell Road,37.235085,-121.8305,0.2640143936146492,3.765896671634376,0.4533470398931765,0.2625434674615001,0.2789999999999999
43694274330031,Independence High,Independence High,San Jose,617 North Jackson Avenue,37.370953,-121.85602,0.2195482854765693,4.1446142377935145,0.4141972597995895,0.2891042365511244,0.47
43694274330692,Evergreen Valley High,Evergreen Valley High,San Jose,3300 Quimby Road,37.325201,-121.77866,0.2028671926332033,1.5199403652627657,0.3514428024187583,0.1006336190831159,0.2239999999999999
43694274332995,Andrew P. Hill High,Andrew P. Hill High,San Jose,3200 Senter Road,37.291923,-121.83173,0.1768907823006262,2.4111801242236024,0.34021225285990814,0.1993788819875776,0.6759999999999999
43694274333639,James Lick High,James Lick High,San Jose,57 North White Road,37.368046,-121.83009,0.1812262229418228,0.9988819875776396,0.32013447039967896,0.0959006211180124,0.6579999999999999
43694274334900,Mt. Pleasant High,Mt. Pleasant High,San Jose,1750 South White Road,37.345646,-121.80948,0.2903881893509505,3.491862343148217,0.47570920908676445,0.2527021990309355,0.625
43694274335204,Oak Grove High,Oak Grove High,San Jose,285 Blossom Hill Road,37.251575,-121.81892,0.2701633534948591,4.589119364054155,0.4739728516734985,0.385417960501801,0.562
43694274335428,William C. Overfelt High,William C. Overfelt High,San Jose,1835 Cunningham Avenue,37.330593,-121.82838,0.2132340773287523,0.0385045335983107,0.336366661076091,0.003850453359831,0.627
43694274335907,Piedmont Hills High,Piedmont Hills High,San Jose,1377 Piedmont Road,37.403788,-121.84899,0.292493177112631,6.8191304347826085,0.5356798926352592,0.3924223602484472,0.301
43694274337903,Silver Creek High,Silver Creek High,San Jose,3434 Silver Creek Road,37.304331,-121.80831,0.2943308854233902,4.841222512113307,0.5032068637821254,0.3524661448627159,0.446
