ID,school,city,cluster,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43696664333795,Abraham Lincoln High,San Jose,1,0.3890764762607205,9.250232255879622,0.5746033344164314,0.562
43696664335949,Pioneer High,San Jose,0,0.2841176967645862,5.678434297900774,0.3955077365234383,0.308
43696664337200,San Jose High,San Jose,0,0.2913769764347704,6.707849948057532,0.3223865160106353,0.6990000000000001
43696664338950,Willow Glen High,San Jose,1,0.3951591128829327,10.479773733083752,0.6123714548541668,0.3879999999999999
43696666048417,Allen at Steinbeck,San Jose,0,0.2794899895118863,7.1570695403041045,0.4497950476627781,0.69
43696666048425,Almaden Elementary,San Jose,0,0.2657386446096143,4.939843671343711,0.3629058092387674,0.718
43696666048433,Anne Darling Elementary,San Jose,0,0.2143625382372868,2.2873683680614354,0.1678069810120499,0.731
43696666048474,Booksin Elementary,San Jose,1,0.4056292213794002,13.312260869565216,0.6811258581235697,0.119
43696666048490,Canoas Elementary,San Jose,1,0.3391535824190005,10.331861242048411,0.6598919957896663,0.716
43696666048516,Empire Gardens Elementary,San Jose,0,0.3389467155769261,7.531975746482096,0.3939228921176068,0.706
43696666048532,Gardner Elementary,San Jose,0,0.2618068817422458,6.156264587166038,0.397974500489671,0.701
43696666048540,Grant Elementary,San Jose,0,0.2475379023562385,4.391364042012768,0.3226836914487083,0.6970000000000001
43696666048565,Hammer Montessori at Galarza Elementary,San Jose,1,0.4089999972109009,13.938105502089078,0.7827674734688836,0.201
43696666048599,Horace Mann Elementary,San Jose,0,0.198544254111883,3.352278655963677,0.249906181065966,0.7440000000000001
43696666048649,Lowell Elementary,San Jose,0,0.2276625258779944,5.795033727816065,0.3792846224955836,0.851
43696666048656,Merritt Trace Elementary,San Jose,1,0.4059320037680569,9.76288197416054,0.5807288687111848,0.5429999999999999
43696666048664,Reed Elementary,San Jose,1,0.3371025517178443,8.980100777570811,0.5604413709777072,0.242
43696666048672,River Glen,San Jose,1,0.3593863082374015,11.345822578578357,0.6550652607684844,0.469
43696666048680,Schallenberger Elementary,San Jose,1,0.3923851494885858,13.141311560939654,0.7994398246248334,0.255
43696666048698,Selma Olinder Elementary,San Jose,1,0.3762630706965839,11.281661457070031,0.5536252843158346,0.8029999999999999
43696666048706,Simonds Elementary,San Jose,1,0.3107040196526727,8.385663029948011,0.5577313831734643,0.092
43696666048714,Terrell Elementary,San Jose,0,0.3026168492137424,7.067869058025066,0.4956683706391955,0.541
43696666048722,Hacienda Science/Environmental Magnet,San Jose,1,0.3119085699173287,7.171902815850778,0.4934763606741936,0.223
43696666048730,Walter L. Bachrodt Elementary,San Jose,0,0.2381742261873672,4.337514587099283,0.2779122714687778,0.613
43696666048748,Washington Elementary,San Jose,0,0.1984077633182401,3.195051852123053,0.2338745846795967,0.83
43696666048755,Williams Elementary,San Jose,1,0.3276930245425052,7.668530943641473,0.4775920620245863,0.0819999999999999
43696666048763,Willow Glen Elementary,San Jose,1,0.3877154234184323,13.674252582155331,0.7371121046682438,0.359
43696666060099,Bret Harte Middle,San Jose,1,0.3510319307230568,9.058373415954636,0.5009908149395672,0.119
43696666060107,Willow Glen Middle,San Jose,1,0.3930899154757359,10.255134635450036,0.6055940983726593,0.367
43696666060115,John Muir Middle,San Jose,0,0.3046281146175214,6.882125466793589,0.4592470894047011,0.542
43696666062103,Muwekma Ohlone Middle,San Jose,0,0.277333599164584,5.282953328512719,0.363363019779777,0.687
43696666062111,Herbert Hoover Middle,San Jose,1,0.383626640638344,10.418880635609318,0.6297191291493325,0.63
43696666093074,Los Alamitos Elementary,San Jose,0,0.2866995628391358,5.5968184085635695,0.377333449271648,0.121
43696666093082,Graystone Elementary,San Jose,1,0.383468728755739,11.412321689266804,0.5316897702154144,0.088
43696666093090,Rachel Carson Elementary,San Jose,0,0.3054812242522536,5.038515928551488,0.3671598621554458,0.472
