ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43696664337200,San Jose High,San Jose,275 North 24th Street,37.350457,-121.87122,0.6990000000000001
43696664338950,Willow Glen High,San Jose,2001 Cottle Avenue,37.291588,-121.8964,0.38799999999999996
43696666048417,Allen at Steinbeck,San Jose,820 Steinbeck Drive,37.247281,-121.85641,0.69
43696666048425,Almaden Elementary,San Jose,1295 Dentwood Drive,37.250931,-121.88411,0.718
43696666048433,Anne Darling Elementary,San Jose,333 North 33rd Street,37.356596,-121.86446,0.731
43696666048474,Booksin Elementary,San Jose,1590 Dry Creek Road,37.288713,-121.90714,0.11900000000000001
43696666048490,Canoas Elementary,San Jose,880 Wren Drive,37.284721,-121.87654,0.716
43696666048516,Empire Gardens Elementary,San Jose,1060 East Empire Street,37.354642,-121.87616,0.706
43696666048532,Gardner Elementary,San Jose,502 Illinois Avenue,37.321387,-121.89641,0.701
43696666048540,Grant Elementary,San Jose,470 East Jackson Street,37.351639,-121.88858,0.6970000000000001
43696666048565,Hammer Montessori at Galarza Elementary,San Jose,1610 Bird Avenue,37.303525,-121.88686,0.201
43696666048599,Horace Mann Elementary,San Jose,55 North Seventh Street,37.33998,-121.88486,0.7440000000000001
43696666048649,Lowell Elementary,San Jose,625 South Seventh Street,37.329688,-121.87718,0.851
43696666048656,Merritt Trace Elementary,San Jose,651 Dana Avenue,37.330909,-121.9258,0.5429999999999999
43696666048664,Reed Elementary,San Jose,1524 Jacob Avenue,37.264637,-121.89461,0.242
43696666048672,River Glen,San Jose,1088 Broadway,37.312129,-121.89924,0.469
43696666048680,Schallenberger Elementary,San Jose,1280 Koch Lane,37.280808,-121.88786,0.255
43696666048698,Selma Olinder Elementary,San Jose,890 East William,37.33834,-121.86659,0.8029999999999999
43696666048706,Simonds Elementary,San Jose,6515 Grapevine Way,37.220493,-121.8684,0.092
43696666048714,Terrell Elementary,San Jose,3925 Pearl Avenue,37.270841,-121.86841,0.541
43696666048722,Hacienda Science/Environmental Magnet,San Jose,1290 Kimberly Drive,37.26967,-121.8839,0.223
43696666048730,Walter L. Bachrodt Elementary,San Jose,102 Sonora Avenue,37.363361,-121.91285,0.613
43696666048748,Washington Elementary,San Jose,100 Oak Street,37.321793,-121.88158,0.83
43696666048755,Williams Elementary,San Jose,1150 Rajkovich Way,37.208223,-121.85092,0.08199999999999999
43696666048763,Willow Glen Elementary,San Jose,1425 Lincoln Avenue,37.30321,-121.89687,0.359
43696666060099,Bret Harte Middle,San Jose,7050 Bret Harte Drive,37.209431,-121.83816,0.11900000000000001
43696666060107,Willow Glen Middle,San Jose,2105 Cottle Avenue,37.291174,-121.89613,0.36700000000000005
43696666060115,John Muir Middle,San Jose,1260 Branham Lane,37.261393,-121.88237,0.542
43696666062103,Muwekma Ohlone Middle,San Jose,850 North Second Street,37.35284,-121.90149,0.687
