ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43695186047450,Loyola Elementary,Los Altos,770 Berry Avenue,37.361368,-122.09337,0.027000000000000003
43695186047468,Oak Avenue Elementary,Los Altos,1501 Oak Avenue,37.356799,-122.07143,0.027000000000000003
43695186047492,Santa Rita Elementary,Los Altos,700 Los Altos Avenue,37.393933,-122.12132,0.187
43695186047500,Springer Elementary,Mountain View,1120 Rose Avenue,37.371011,-122.09402,0.049
43695266047518,Blossom Hill Elementary,Los Gatos,16400 Blossom Hill Road,37.234743,-121.95624,0.07
43695266047526,Daves Avenue Elementary,Los Gatos,17770 Daves Avenue,37.240939,-121.98207,0.053
43695266047534,Lexington Elementary,Los Gatos,19700 Old Santa Cruz Highway,37.180458,-121.99249,0.052000000000000005
43695266047542,Louise Van Meter Elementary,Los Gatos,16445 Los Gatos Boulevard,37.230219,-121.96573,0.067
43695266047567,Raymond J. Fisher Middle,Los Gatos,19195 Fisher Avenue,37.23405,-121.96757,0.055999999999999994
43695344334371,Los Gatos High,Los Gatos,20 High School Court,37.221218,-121.97707,0.068
43695344337762,Saratoga High,Saratoga,20300 Herriman Avenue,37.267304,-122.02871,0.034
43695426047575,Luther Burbank Elementary,San Jose,4 Wabash Avenue,37.323556,-121.9267,0.6970000000000001
43695750129940,Latimer,San Jose,4250 Latimer Avenue,37.292391,-121.97803,0.475
43695756047740,Country Lane Elementary,San Jose,5140 Country Lane,37.298472,-121.99193,0.3
43695756047765,Easterbrook Discovery,San Jose,4835 Doyle Road,37.303397,-121.98663,0.222
43695756047781,Moreland Middle,San Jose,4600 Student Lane,37.290191,-121.98411,0.38299999999999995
43695756047799,George C. Payne Elementary,San Jose,3750 Gleason Avenue,37.297438,-121.96742,0.314
43695756047807,Gussie M. Baker Elementary,San Jose,4845 Bucknall Road,37.283415,-121.98712,0.19
43695756047831,Leroy Anderson Elementary,San Jose,4000 Rhoda Drive,37.30466,-121.9715,0.8540000000000001
